index,element_id,name,key,s,length,p0c,x,px,y,py,z,pz,beta_a,alpha_a,phi_a,beta_b,alpha_b,phi_b,eta_x,etap_x,eta_y,etap_y
0,0>>0,BEGINNING,Beginning_Ele,0.0,0.0,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,11.339443244285054,-0.0015108772645496809,0.0,2.626431720468648,-0.009988418876859561,0.0,-0.00018640863387835936,1.177781695744039e-05,3.7273612489128697e-19,-1.440092854959162e-19
1,0>>1,IP_L0,Marker,0.0,0.0,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,11.339443244285054,-0.0015108772645496809,0.0,2.626431720468648,-0.009988418876859561,0.0,-0.00018640863387835936,1.177781695744039e-05,3.7273612489128697e-19,-1.440092854959162e-19
2,0>>2,SECTOR_4,Marker,0.0,0.0,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,11.339443244285054,-0.0015108772645496809,0.0,2.626431720468648,-0.009988418876859561,0.0,-0.00018640863387835936,1.177781695744039e-05,3.7273612489128697e-19,-1.440092854959162e-19
3,0>>3,HS4B#2,SBend,0.02500000000002274,0.02500000000002274,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,11.339573905618623,-0.003715576078256887,0.002204682865030232,2.6271691306015685,-0.01950798643993823,0.009517425621573017,-0.00018611418845442307,1.177781695744039e-05,3.691358927538858e-19,-1.440092854959162e-19
4,0>>4,D001#1,Drift,0.3160000000000227,0.291,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,11.349204214905903,-0.029378270269785428,0.02785894656946473,2.670767838741946,-0.1303157528740731,0.11959741011865688,-0.00018268684371980793,1.177781695744039e-05,3.272291906745742e-19,-1.440092854959162e-19
5,0>>5,UNDS4B#1,Drift,1.058,0.7419999999999773,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,11.441354679893012,-0.0948137310605538,0.0930202637398956,3.0738016638388146,-0.4128565181459823,0.3815521297866958,-0.00017394770353738743,1.177781695744039e-05,2.2037430083660766e-19,-1.440092854959162e-19
6,0>>6,LS_4B,Photon_Fork,1.058,0.0,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,11.441354679893012,-0.0948137310605538,0.0930202637398956,3.0738016638388146,-0.4128565181459823,0.3815521297866958,-0.00017394770353738743,1.177781695744039e-05,2.2037430083660766e-19,-1.440092854959162e-19
7,0>>7,UNDS4B#2,Drift,1.8000000000000227,0.7420000000000226,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,11.630611368693632,-0.1602491918513262,0.15738734839535706,3.8961259845992466,-0.6953972834179087,0.5976421218979631,-0.00016520856335496638,1.177781695744039e-05,1.1351941099863457e-19,-1.440092854959162e-19
8,0>>8,D002,Drift,1.8440000000000227,0.044,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,11.644884029452683,-0.16412946176344734,0.16116815841435014,3.9580581408521067,-0.712151722328912,0.6088469238177774,-0.000164690339408839,1.177781695744039e-05,1.0718300243681426e-19,-1.440092854959162e-19
9,0>>9,HS4C,SBend,1.9540000000000228,0.11,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,11.682059585266474,-0.17383013654375024,0.1705994643124934,4.119338990464993,-0.75403781960642,0.6360922220057847,-0.00016339477954352056,1.177781695744039e-05,9.134198103226347e-20,-1.440092854959162e-19
10,0>>10,D003,Drift,2.165900000000023,0.2119,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,11.759688578185733,-0.19251716368871552,0.18867940488672025,4.455997974817619,-0.8347256742710014,0.6855713364108713,-0.00016089906013023894,1.177781695744039e-05,6.082641343567883e-20,-1.440092854959162e-19
11,0>>11,GIRDER_4AB_START,Marker,2.165900000000023,0.0,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,11.759688578185733,-0.19251716368871552,0.18867940488672025,4.455997974817619,-0.8347256742710014,0.6855713364108713,-0.00016089906013023894,1.177781695744039e-05,6.082641343567883e-20,-1.440092854959162e-19
12,0>>12,VX4A,Kicker,2.242100000000023,0.0762,5999999978.240006,0.0,0.0,0.0,0.0,0.0,0.0,11.789540251987086,-0.19923708567288897,0.1951510047570357,4.585421159491756,-0.8637413162032388,0.7024296230962718,-0.00016000159047808199,1.177781695744039e-05,4.9852905880890015e-20,-1.440092854959162e-19
